State,DistrictID,DistrictName,gwDepth,GCAKharif,GCARabi,GCASummer,GIAKharif,GIARabi,GIASummer,kwhkharif,kwhrabi,kwhsummer,TotalEnergy
Himachal Pradesh,15891, Una ,65,62416,62006,33023,2187.943291,5167.04861,87.69691752,261.37,181.69,1032.77,61.68
Jammu and Kashmir,15893, Bagdam ,65,31115,33707,3641,0,0,0,239.41,53.34,0,9.24
Jammu and Kashmir,15895, Doda ,54,71040,26060,42,0,0,0,112.41,25.26,0,8.64
Jammu and Kashmir,15896, Jammu ,37,46100,6705,0,0,0,0,181.73,116.79,0,9.16
Jammu and Kashmir,15897, Kargil ,16,69833,8591,0,0,0,0,18.61,0.03,0,1.29
Jammu and Kashmir,15898, Kathua ,56,62951,21773,0,0,0,0,252.69,148.73,0,19.14
Jammu and Kashmir,15900, Ladakh (Leh) ,6,8169,2224,0,0,0,0,5.54,0,0,0.04
Jammu and Kashmir,15901, Pulwama ,17,69936,56517,72,0,0,0,53.68,10.81,0,4.36
Jammu and Kashmir,15902, Punch ,17,37558,166,0,0,0,0,59.84,23.49,0,2.25
Jammu and Kashmir,15903, Rajauri ,18,7113,3312,0,0,0,0,63.91,25.7,0,0.53
Jammu and Kashmir,15904, Srinagar ,35,42134,20806,0,0,0,0,98.03,6.04,0,4.25
Jammu and Kashmir,15905, Udhampur ,26,29050,17573,0,0,0,0,93.26,41.72,0,3.44
Jharkhand,15906, Bokaro ,13,53724,43008,14,19.49530211,27.28919262,9.044954814,0,0,0,0
Jharkhand,15909, Dhanbad ,15,0,0,0,21.56487342,81.31170886,6.068037975,37.74,188.7,0,0
Jharkhand,15910, Dumka ,11,0,0,0,9.967198549,17.14531117,1.516160083,24.16,131.38,0,0
Jharkhand,15911, Garhwa ,10,113023,34690,0,399.1328228,352.1918304,19.00036606,0,0,0,0
Jharkhand,15912, Giridih ,14,205258.333,11478,0,61.25340821,19.63974644,9.236013046,36.59,166.42,0,9.42
Jharkhand,15913, Godda ,12,62.714,65333,0,27.06044827,36.54878877,6.350464116,26.03,137.63,0,8.99
Jharkhand,15914, Gumla ,11,0,0,0,1.626118068,2.811397904,0.33120368,29.52,132.3,0,0
Jharkhand,15915, Hazaribag ,12,310438.778,41731,0,24.73518682,34.47603472,2.657390867,32.06,142.11,0,15.88
Jharkhand,15916, Jamtara ,50,133619.364,75924,0,2.697795686,2.232756577,0.261673382,0,0,0,0
Jharkhand,15917, Koderma ,33,341,26850,0,6.0312985,3.654940507,1.311433006,0,0,0,0
Jharkhand,15918, Latehar ,13,424050.667,67479,0,19.77030948,19.6333011,2.76756931,0,0,0,0
Jharkhand,15919, Lohardaga ,10,0,0,0,8.938108587,15.19843612,1.68375627,29.44,118.54,0,0
Jharkhand,15920, Pakur ,100,0,0,0,89.9122807,0,16.54385965,0,0,0,0
